bairro;codbairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Pessoa responsável pelo domicílio, Sexo feminino, 15 a 29 anos, Morador sabe ler e escrever;Pessoa responsável pelo domicílio, Sexo feminino, 15 a 29 anos, Morador não sabe ler e escrever;Pessoa responsável pelo domicílio, Sexo feminino, 30 a 59 anos, Morador sabe ler e escrever;Pessoa responsável pelo domicílio, Sexo feminino, 30 a 59 anos, Morador não sabe ler e escrever;Pessoa responsável pelo domicílio, Sexo feminino, 60 anos ou mais, Morador sabe ler e escrever;Pessoa responsável pelo domicílio, Sexo feminino, 60 anos ou mais, Morador não sabe ler e escrever
Inhoaíba;146;146;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;1656;0;8032;83;3292;311
Cosmos;147;147;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;2463;0;11154;67;4511;388
Paciência;148;148;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;5.3;Área de Planejamento 5;5;2586;0;12010;120;5374;430
Santa Cruz;149;149;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;5.3;Área de Planejamento 5;5;6948;0;28206;437;11510;1076
Sepetiba;150;150;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;5.3;Área de Planejamento 5;5;1483;0;6601;90;3168;201
Guaratiba;151;151;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;4144;4;17339;405;5844;580
Barra de Guaratiba;152;152;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;56;0;495;10;261;18
Pedra de Guaratiba;153;153;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;179;0;1275;7;861;30
Rocinha;154;154;ROCINHA;27;XXVII Rocinha;Zona Sul;2.1;Área de Planejamento 2;2;3423;3;9496;484;2222;570
Jacarezinho;155;155;JACAREZINHO;28;XXVIII Jacarezinho;Méier;3.2;Área de Planejamento 3;3;1569;0;4153;115;1550;234
Complexo do Alemão;156;156;COMPLEXO DO ALEMÃO;29;XXIX Complexo do Alemão;Inhaúma;3.4;Área de Planejamento 3;3;2016;0;6679;261;2257;561
Maré;157;157;COMPLEXO DA MARE;30;XXX Maré;Ramos;3.1;Área de Planejamento 3;3;4929;6;15720;704;4229;1095
Vasco da Gama;158;158;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;417;0;1894;67;872;71
Parque Colúmbia;159;159;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;154;0;840;21;422;30
Gericinó;160;160;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;101;0;339;9;73;3
Lapa;161;161;CENTRO;2;II Centro;Centro;1.1;Área de Planejamento 1;1;326;0;1379;4;980;3
Vila Kennedy;162;162;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;612;0;2626;18;1374;63
Jabour;163;163;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;56;0;592;0;548;7
Ilha de Guaratiba;164;164;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;102;0;557;0;208;6
Barra Olímpica;165;165;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1034;0;7165;39;2773;14
Argentino;166;166;PENHA;11;XI Penha;Penha;3.5;Área de Planejamento 3;3;10;0;88;0;53;0
